year,odometer,price,url
2015,113,8000,https://inlandempire.craigslist.org/ctd/d/chino-2015-nissan-quest/7689792393.html
2008,122,6000,https://inlandempire.craigslist.org/cto/d/fontana-2008-nissan-quest/7687933201.html
2008,168,2950,https://inlandempire.craigslist.org/cto/d/littlerock-2008-nissan-quest-3row-seat/7687022102.html
2007,178,2200,https://inlandempire.craigslist.org/cto/d/moreno-valley-2007-nissan-quest/7684904597.html
2013,130,7500,https://inlandempire.craigslist.org/cto/d/corona-2013-nissan-quest/7684068523.html
2014,73,11995,https://inlandempire.craigslist.org/ctd/d/colton-nissan-quest-73k-original-miles/7683178008.html
2012,170,5095,https://losangeles.craigslist.org/sgv/ctd/d/south-el-monte-2012-nissan-quest-170k/7689695664.html
2008,168,4500,https://losangeles.craigslist.org/ant/cto/d/littlerock-2008-nissan-quest-3row-seat/7687661243.html
2007,135,2900,https://losangeles.craigslist.org/sfv/cto/d/san-fernando-2007-nissan-quest-mini-van/7687343524.html
2013,125,9000,https://orangecounty.craigslist.org/cto/d/laguna-woods-2013-nissan-quest/7689145337.html
2013,107,9500,https://orangecounty.craigslist.org/cto/d/anaheim-2013-nissan-quest-sv-well-kept/7687434825.html
2015,79,10950,https://orangecounty.craigslist.org/cto/d/laguna-beach-2015-nissan-quest-low/7686040359.html
